,Consumption (KWH)
2014-05-23,18404234.142059427
2014-05-30,16887308.280008525
2014-06-06,15617187.437641514
2014-06-13,19658974.53982305
2014-06-20,18441724.26712581
2014-06-27,16278264.06393614
2014-07-04,13752519.71662572
2014-07-11,21062130.924696874
2014-07-18,13289715.02761545
2014-07-25,19582547.546411216
2014-08-01,22203953.884866625
2014-08-08,30424518.628247928
2014-08-15,20844023.94047422
2014-08-22,24800449.925567888
2014-08-29,25810828.897626035
2014-09-05,28060085.145860296
2014-09-12,26060967.030945763
2014-09-19,26262726.428124532
2014-09-26,30016156.22224176
2014-10-03,24413649.86292454
2014-10-10,22650187.641583376
2014-10-17,25190311.845125787
2014-10-24,41920177.56577643
2014-10-31,37325448.75682886
2014-11-07,32470476.91110906
2014-11-14,34697742.76628565
2014-11-21,25737077.773972735
2014-11-28,23102570.549798038
2014-12-05,33136456.021697562
2014-12-12,27673839.278776474
2014-12-19,20636810.375755187
2014-12-26,19517250.007300228
2015-01-02,20799512.90207599
2015-01-09,18005816.807892747
2015-01-16,18567612.09518444
2015-01-23,15465278.187546603
2015-01-30,19544855.53235671
2015-02-06,21621657.96728
2015-02-13,12416489.758698765
2015-02-20,21446805.14683919
2015-02-27,18641136.59482534
2015-03-06,22044321.045258168
2015-03-13,16857472.479868174
2015-03-20,20017106.45698549
2015-03-27,17937939.704323817
2015-04-03,17894961.313564364
2015-04-10,27236902.77749948
2015-04-17,20357419.028259035
2015-04-24,26155966.879226897
2015-05-01,25602696.315014586
2015-05-08,12608096.789639587
2015-05-15,17554092.29854103
2015-05-22,21761063.2171994
2015-05-29,18365475.921536505
2015-06-05,21489133.773083474
2015-06-12,17233775.253437907
2015-06-19,15972581.102006026
2015-06-26,15787809.902453303
2015-07-03,21219947.02807119
2015-07-10,14193381.714031562
2015-07-17,23051877.399285663
2015-07-24,19615306.596543737
2015-07-31,18893950.73777421
2015-08-07,27114453.266396396
2015-08-14,22369453.08899248
2015-08-21,18967540.15584415
2015-08-28,20742811.120653722
2015-09-04,20968366.63450963
2015-09-11,30543627.435384307
2015-09-18,26657179.652180046
2015-09-25,29381439.164675385
2015-10-02,22823116.747760255
2015-10-09,29916089.908807077
2015-10-16,22141610.243557908
2015-10-23,29372615.047817707
2015-10-30,33647147.564406976
2015-11-06,30062666.235410333
2015-11-13,24664186.32483285
2015-11-20,26758146.651795078
2015-11-27,28932373.081071563
2015-12-04,33760736.30490773
2015-12-11,31199469.63739278
2015-12-18,32587141.879473053
2015-12-25,25442786.917084564
2016-01-01,31273792.412436537
2016-01-08,40618756.79100585
2016-01-15,13631562.641653514
2016-01-22,22771499.536679495
2016-01-29,21336340.20482187
2016-02-05,20538323.77510213
2016-02-12,19379887.841742996
2016-02-19,21436948.401660915
2016-02-26,24389946.620674606
2016-03-04,15110886.30185641
2016-03-11,28765846.67580807
2016-03-18,19674541.63021341
2016-03-25,19070665.18360872
2016-04-01,19313596.726810314
2016-04-08,16827608.569179174
2016-04-15,19104692.890188392
2016-04-22,26010302.161081593
2016-04-29,21654555.46320076
2016-05-06,20691430.028420825
2016-05-13,29418324.347296815
2016-05-20,20296345.705898724
2016-05-27,22306488.09623231
2016-06-03,26005925.42930275
2016-06-10,17740490.768566214
2016-06-17,19916818.337732874
2016-06-24,14588872.281125564
2016-07-01,22069077.81345847
2016-07-08,15797717.412799627
2016-07-15,15481823.154883455
2016-07-22,19154419.434599392
2016-07-29,23348062.909094587
2016-08-05,20817943.472424194
2016-08-12,16643670.183881825
2016-08-19,15098424.572842304
2016-08-26,15707201.423625635
2016-09-02,20944279.5066629
2016-09-09,12379831.08759204
2016-09-16,17075519.409277115
2016-09-23,27048166.153776962
2016-09-30,23148248.94835631
2016-10-07,22415818.00337223
2016-10-14,24444120.894494493
2016-10-21,30204219.493439212
2016-10-28,42411454.05468108
2016-11-04,34121676.02605532
2016-11-11,32390902.425824385
2016-11-18,32098177.460856818
2016-11-25,24025527.24311021
2016-12-02,28738764.173312593
2016-12-09,31602644.122720387
2016-12-16,25158796.993319005
2016-12-23,28445920.388355717
2016-12-30,28028848.814612113
2017-01-06,19921030.803713165
2017-01-13,22790419.09336009
2017-01-20,20025999.516956598
2017-01-27,27223166.89509783
2017-02-03,29207424.49458548
2017-02-10,20783843.878224257
2017-02-17,8073699.949489572
2017-02-24,16201609.573539449
2017-03-03,15569464.58565156
2017-03-10,19141640.01309516
2017-03-17,21976197.094825145
2017-03-24,21207162.21428566
2017-03-31,16160191.996862575
